Timestep, Roll, Pitch, Yaw
127, 0.0, -0.0, 1.27
128, 0.0, -0.0, 1.28
129, 0.0, -0.0, 1.29
130, 0.0, -0.0, 1.3
131, 0.0, -0.0, 1.31
132, 0.0, -0.0, 1.32
133, 0.0, -0.0, 1.33
134, 0.0, -0.0, 1.34
135, 0.0, -0.0, 1.35
136, 0.0, -0.0, 1.36
137, 0.0, -0.0, 1.37
138, 0.0, -0.0, 1.3800000000000001
139, 0.0, -0.0, 1.3900000000000001
140, 0.0, -0.0, 1.4000000000000001
141, 0.0, -0.0, 1.41
142, 0.0, -0.0, 1.42
143, 0.0, -0.0, 1.43
144, 0.0, -0.0, 1.44
145, 0.0, -0.0, 1.45
146, 0.0, -0.0, 1.46
147, 0.0, -0.0, 1.47
148, 0.0, -0.0, 1.48
149, 0.0, -0.0, 1.49
150, 0.0, -0.0, 1.5
151, 0.0, -0.0, 1.51
152, 0.0, -0.0, 1.52
153, 0.0, -0.0, 1.53
154, 0.0, -0.0, 1.54
155, 0.0, -0.0, 1.55
156, 0.0, -0.0, 1.56
157, 0.0, -0.0, 1.57
158, 0.0, -0.0, 1.58
159, 0.0, -0.0, 1.59
160, 0.0, -0.0, 1.6
161, 0.0, -0.0, 1.61
162, 0.0, -0.0, 1.62
163, 0.0, -0.0, 1.6300000000000001
164, 0.0, -0.0, 1.6400000000000001
165, 0.0, -0.0, 1.6500000000000001
166, 0.0, -0.0, 1.6600000000000001
167, 0.0, -0.0, 1.67
168, 0.0, -0.0, 1.68
169, 0.0, -0.0, 1.69
170, 0.0, -0.0, 1.7
171, 0.0, -0.0, 1.71
172, 0.0, -0.0, 1.72
173, 0.0, -0.0, 1.73
174, 0.0, -0.0, 1.74
175, 0.0, -0.0, 1.75
176, 0.0, -0.0, 1.76
177, 0.0, -0.0, 1.77
178, 0.0, -0.0, 1.78
179, 0.0, -0.0, 1.79
180, 0.0, -0.0, 1.8
181, 0.0, -0.0, 1.81
182, 0.0, -0.0, 1.82
183, 0.0, -0.0, 1.83
184, 0.0, -0.0, 1.84
185, 0.0, -0.0, 1.85
186, 0.0, -0.0, 1.86
187, 0.0, -0.0, 1.87
188, 0.0, -0.0, 1.8800000000000001
189, 0.0, -0.0, 1.8900000000000001
190, 0.0, -0.0, 1.9000000000000001
191, 0.0, -0.0, 1.9100000000000001
192, 0.0, -0.0, 1.92
193, 0.0, -0.0, 1.93
194, 0.0, -0.0, 1.94
195, 0.0, -0.0, 1.95
196, 0.0, -0.0, 1.96
197, 0.0, -0.0, 1.97
198, 0.0, -0.0, 1.98
199, 0.0, -0.0, 1.99
200, 0.0, -0.0, 2.0
201, 0.0, -0.0, 2.0100000000000002
202, 0.0, -0.0, 2.02
203, 0.0, -0.0, 2.0300000000000002
204, 0.0, -0.0, 2.04
205, 0.0, -0.0, 2.05
206, 0.0, -0.0, 2.06
207, 0.0, -0.0, 2.07
208, 0.0, -0.0, 2.08
209, 0.0, -0.0, 2.09
210, 0.0, -0.0, 2.1
211, 0.0, -0.0, 2.11
212, 0.0, -0.0, 2.12
213, 0.0, -0.0, 2.13
214, 0.0, -0.0, 2.14
215, 0.0, -0.0, 2.15
216, 0.0, -0.0, 2.16
217, 0.0, -0.0, 2.17
218, 0.0, -0.0, 2.18
219, 0.0, -0.0, 2.19
220, 0.0, -0.0, 2.2
221, 0.0, -0.0, 2.21
222, 0.0, -0.0, 2.22
223, 0.0, -0.0, 2.23
224, 0.0, -0.0, 2.24
225, 0.0, -0.0, 2.25
226, 0.0, -0.0, 2.2600000000000002
227, 0.0, -0.0, 2.27
228, 0.0, -0.0, 2.2800000000000002
229, 0.0, -0.0, 2.29
230, 0.0, -0.0, 2.3000000000000003
231, 0.0, -0.0, 2.31
232, 0.0, -0.0, 2.32
233, 0.0, -0.0, 2.33
234, 0.0, -0.0, 2.34
235, 0.0, -0.0, 2.35
236, 0.0, -0.0, 2.36
237, 0.0, -0.0, 2.37
238, 0.0, -0.0, 2.38
239, 0.0, -0.0, 2.39
240, 0.0, -0.0, 2.4
241, 0.0, -0.0, 2.41
242, 0.0, -0.0, 2.42
243, 0.0, -0.0, 2.43
244, 0.0, -0.0, 2.44
245, 0.0, -0.0, 2.45
246, 0.0, -0.0, 2.46
247, 0.0, -0.0, 2.47
248, 0.0, -0.0, 2.48
249, 0.0, -0.0, 2.49
250, 0.0, -0.0, 2.5
251, 0.0, -0.0, 2.5100000000000002
252, 0.0, -0.0, 2.52
253, 0.0, -0.0, 2.5300000000000002
254, 0.0, -0.0, 2.54
255, 0.0, -0.0, 2.5500000000000003
256, 0.0, -0.0, 2.56
257, 0.0, -0.0, 2.57
258, 0.0, -0.0, 2.58
259, 0.0, -0.0, 2.59
260, 0.0, -0.0, 2.6
261, 0.0, -0.0, 2.61
262, 0.0, -0.0, 2.62
263, 0.0, -0.0, 2.63
264, 0.0, -0.0, 2.64
265, 0.0, -0.0, 2.65
266, 0.0, -0.0, 2.66
267, 0.0, -0.0, 2.67
268, 0.0, -0.0, 2.68
269, 0.0, -0.0, 2.69
270, 0.0, -0.0, 2.7
271, 0.0, -0.0, 2.71
272, 0.0, -0.0, 2.72
273, 0.0, -0.0, 2.73
274, 0.0, -0.0, 2.74
275, 0.0, -0.0, 2.75
276, 0.0, -0.0, 2.7600000000000002
277, 0.0, -0.0, 2.77
278, 0.0, -0.0, 2.7800000000000002
279, 0.0, -0.0, 2.79
280, 0.0, -0.0, 2.8000000000000003
281, 0.0, -0.0, 2.81
282, 0.0, -0.0, 2.82
283, 0.0, -0.0, 2.83
284, 0.0, -0.0, 2.84
285, 0.0, -0.0, 2.85
286, 0.0, -0.0, 2.86
287, 0.0, -0.0, 2.87
288, 0.0, -0.0, 2.88
289, 0.0, -0.0, 2.89
290, 0.0, -0.0, 2.9
291, 0.0, -0.0, 2.91
292, 0.0, -0.0, 2.92
293, 0.0, -0.0, 2.93
294, 0.0, -0.0, 2.94
295, 0.0, -0.0, 2.95
296, 0.0, -0.0, 2.96
297, 0.0, -0.0, 2.97
298, 0.0, -0.0, 2.98
299, 0.0, -0.0, 2.99
300, 0.0, -0.0, 3.0
301, 0.0, -0.0, 3.0100000000000002
302, 0.0, -0.0, 3.02
303, 0.0, -0.0, 3.0300000000000002
304, 0.0, -0.0, 3.04
305, 0.0, -0.0, 3.0500000000000003
306, 0.0, -0.0, 3.06
307, 0.0, -0.0, 3.0700000000000003
308, 0.0, -0.0, 3.08
309, 0.0, -0.0, 3.09
310, 0.0, -0.0, 3.1
311, 0.0, -0.0, 3.11
312, 0.0, -0.0, 3.12
313, 0.0, -0.0, 3.13
314, 0.0, -0.0, 3.14
315, 0.0, -0.0, -3.1331853071795868
316, 0.0, -0.0, -3.1231853071795865
317, 0.0, -0.0, -3.1131853071795867
318, 0.0, -0.0, -3.1031853071795865
319, 0.0, -0.0, -3.0931853071795867
320, 0.0, -0.0, -3.0831853071795865
321, 0.0, -0.0, -3.0731853071795867
322, 0.0, -0.0, -3.0631853071795865
323, 0.0, -0.0, -3.0531853071795867
324, 0.0, -0.0, -3.0431853071795865
325, 0.0, -0.0, -3.0331853071795867
326, 0.0, -0.0, -3.0231853071795864
327, 0.0, -0.0, -3.0131853071795867
328, 0.0, -0.0, -3.0031853071795864
329, 0.0, -0.0, -2.9931853071795866
330, 0.0, -0.0, -2.9831853071795864
331, 0.0, -0.0, -2.9731853071795866
332, 0.0, -0.0, -2.9631853071795864
333, 0.0, -0.0, -2.9531853071795866
334, 0.0, -0.0, -2.943185307179587
335, 0.0, -0.0, -2.9331853071795866
336, 0.0, -0.0, -2.923185307179587
337, 0.0, -0.0, -2.9131853071795866
338, 0.0, -0.0, -2.903185307179587
339, 0.0, -0.0, -2.8931853071795866
340, 0.0, -0.0, -2.8831853071795868
341, 0.0, -0.0, -2.8731853071795865
342, 0.0, -0.0, -2.8631853071795863
343, 0.0, -0.0, -2.853185307179586
344, 0.0, -0.0, -2.8431853071795863
345, 0.0, -0.0, -2.8331853071795865
346, 0.0, -0.0, -2.8231853071795867
347, 0.0, -0.0, -2.8131853071795865
348, 0.0, -0.0, -2.8031853071795867
349, 0.0, -0.0, -2.7931853071795865
350, 0.0, -0.0, -2.7831853071795867
351, 0.0, -0.0, -2.7731853071795864
352, 0.0, -0.0, -2.7631853071795867
353, 0.0, -0.0, -2.7531853071795864
354, 0.0, -0.0, -2.7431853071795866
355, 0.0, -0.0, -2.7331853071795864
356, 0.0, -0.0, -2.7231853071795866
357, 0.0, -0.0, -2.7131853071795864
358, 0.0, -0.0, -2.7031853071795866
359, 0.0, -0.0, -2.693185307179587
360, 0.0, -0.0, -2.6831853071795866
361, 0.0, -0.0, -2.673185307179587
362, 0.0, -0.0, -2.663185307179586
363, 0.0, -0.0, -2.653185307179587
364, 0.0, -0.0, -2.6431853071795866
365, 0.0, -0.0, -2.6331853071795868
366, 0.0, -0.0, -2.6231853071795865
367, 0.0, -0.0, -2.6131853071795867
368, 0.0, -0.0, -2.6031853071795865
369, 0.0, -0.0, -2.5931853071795867
370, 0.0, -0.0, -2.583185307179586
371, 0.0, -0.0, -2.5731853071795867
372, 0.0, -0.0, -2.5631853071795865
373, 0.0, -0.0, -2.5531853071795867
374, 0.0, -0.0, -2.5431853071795865
375, 0.0, -0.0, -2.5331853071795867
376, 0.0, -0.0, -2.5231853071795864
377, 0.0, -0.0, -2.5131853071795867
378, 0.0, -0.0, -2.503185307179586
379, 0.0, -0.0, -2.4931853071795866
380, 0.0, -0.0, -2.4831853071795864
381, 0.0, -0.0, -2.473185307179586
382, 0.0, -0.0, -2.463185307179586
383, 0.0, -0.0, -2.4531853071795866
384, 0.0, -0.0, -2.4431853071795864
385, 0.0, -0.0, -2.4331853071795866
386, 0.0, -0.0, -2.423185307179587
387, 0.0, -0.0, -2.4131853071795866
388, 0.0, -0.0, -2.403185307179587
389, 0.0, -0.0, -2.393185307179586
390, 0.0, -0.0, -2.3831853071795868
391, 0.0, -0.0, -2.373185307179586
392, 0.0, -0.0, -2.3631853071795867
393, 0.0, -0.0, -2.353185307179586
394, 0.0, -0.0, -2.3431853071795863
395, 0.0, -0.0, -2.333185307179586
396, 0.0, -0.0, -2.3231853071795867
397, 0.0, -0.0, -2.3131853071795865
398, 0.0, -0.0, -2.3031853071795862
399, 0.0, -0.0, -2.2931853071795865
400, 0.0, -0.0, -2.2831853071795867
401, 0.0, -0.0, -2.273185307179587
402, 0.0, -0.0, -2.263185307179586
403, 0.0, -0.0, -2.253185307179586
404, 0.0, -0.0, -2.2431853071795866
405, 0.0, -0.0, -2.2331853071795864
406, 0.0, -0.0, -2.223185307179586
407, 0.0, -0.0, -2.2131853071795864
408, 0.0, -0.0, -2.203185307179586
409, 0.0, -0.0, -2.193185307179587
410, 0.0, -0.0, -2.183185307179587
411, 0.0, -0.0, -2.1731853071795864
412, 0.0, -0.0, -2.163185307179586
413, 0.0, -0.0, -2.153185307179587
414, 0.0, -0.0, -2.143185307179587
415, 0.0, -0.0, -2.133185307179586
416, 0.0, -0.0, -2.1231853071795865
417, 0.0, -0.0, -2.1131853071795867
418, 0.0, -0.0, -2.103185307179587
419, 0.0, -0.0, -2.0931853071795863
420, 0.0, -0.0, -2.0831853071795865
421, 0.0, -0.0, -2.0731853071795867
422, 0.0, -0.0, -2.0631853071795865
423, 0.0, -0.0, -2.053185307179586
424, 0.0, -0.0, -2.0431853071795865
425, 0.0, -0.0, -2.0331853071795867
426, 0.0, -0.0, -2.023185307179587
427, 0.0, -0.0, -2.013185307179586
428, 0.0, -0.0, -2.0031853071795864
429, 0.0, -0.0, -1.9931853071795864
430, 0.0, -0.0, -1.9831853071795866
431, 0.0, -0.0, -1.973185307179586
432, 0.0, -0.0, -1.9631853071795862
433, 0.0, -0.0, -1.9531853071795864
434, 0.0, -0.0, -1.9431853071795866
435, 0.0, -0.0, -1.933185307179586
436, 0.0, -0.0, -1.9231853071795861
437, 0.0, -0.0, -1.9131853071795863
438, 0.0, -0.0, -1.9031853071795866
439, 0.0, -0.0, -1.8931853071795868
440, 0.0, -0.0, -1.883185307179586
441, 0.0, -0.0, -1.8731853071795863
442, 0.0, -0.0, -1.8631853071795865
443, 0.0, -0.0, -1.8531853071795867
444, 0.0, -0.0, -1.843185307179586
445, 0.0, -0.0, -1.8331853071795863
446, 0.0, -0.0, -1.8231853071795865
447, 0.0, -0.0, -1.8131853071795867
448, 0.0, -0.0, -1.803185307179586
449, 0.0, -0.0, -1.7931853071795862
450, 0.0, -0.0, -1.7831853071795865
451, 0.0, -0.0, -1.7731853071795867
452, 0.0, -0.0, -1.763185307179586
453, 0.0, -0.0, -1.7531853071795862
454, 0.0, -0.0, -1.7431853071795864
455, 0.0, -0.0, -1.7331853071795866
456, 0.0, -0.0, -1.723185307179586
457, 0.0, -0.0, -1.7131853071795862
458, 0.0, -0.0, -1.7031853071795864
459, 0.0, -0.0, -1.6931853071795866
460, 0.0, -0.0, -1.683185307179586
461, 0.0, -0.0, -1.6731853071795861
462, 0.0, -0.0, -1.6631853071795863
463, 0.0, -0.0, -1.6531853071795866
464, 0.0, -0.0, -1.6431853071795868
465, 0.0, -0.0, -1.633185307179586
466, 0.0, -0.0, -1.6231853071795863
467, 0.0, -0.0, -1.6131853071795865
468, 0.0, -0.0, -1.6031853071795867
469, 0.0, -0.0, -1.593185307179586
470, 0.0, -0.0, -1.5831853071795863
471, 0.0, -0.0, -1.5731853071795865
472, 0.0, -0.0, -1.5631853071795867
473, 0.0, -0.0, -1.553185307179586
474, 0.0, -0.0, -1.5431853071795862
475, 0.0, -0.0, -1.5331853071795865
476, 0.0, -0.0, -1.5231853071795867
477, 0.0, -0.0, -1.513185307179586
478, 0.0, -0.0, -1.5031853071795862
479, 0.0, -0.0, -1.4931853071795864
480, 0.0, -0.0, -1.4831853071795866
481, 0.0, -0.0, -1.473185307179586
482, 0.0, -0.0, -1.4631853071795862
483, 0.0, -0.0, -1.4531853071795864
484, 0.0, -0.0, -1.4431853071795866
485, 0.0, -0.0, -1.433185307179586
486, 0.0, -0.0, -1.4231853071795861
487, 0.0, -0.0, -1.4131853071795863
488, 0.0, -0.0, -1.4031853071795866
489, 0.0, -0.0, -1.3931853071795868
490, 0.0, -0.0, -1.383185307179586
491, 0.0, -0.0, -1.3731853071795863
492, 0.0, -0.0, -1.3631853071795865
493, 0.0, -0.0, -1.3531853071795867
494, 0.0, -0.0, -1.343185307179586
495, 0.0, -0.0, -1.3331853071795863
496, 0.0, -0.0, -1.3231853071795865
497, 0.0, -0.0, -1.3131853071795867
498, 0.0, -0.0, -1.303185307179586
499, 0.0, -0.0, -1.2931853071795862
500, 0.0, -0.0, -1.2831853071795865
501, 0.0, -0.0, -1.2731853071795867
502, 0.0, -0.0, -1.263185307179586
503, 0.0, -0.0, -1.2531853071795862
504, 0.0, -0.0, -1.2431853071795864
505, 0.0, -0.0, -1.2331853071795866
506, 0.0, -0.0, -1.223185307179586
507, 0.0, -0.0, -1.2131853071795862
508, 0.0, -0.0, -1.2031853071795864
509, 0.0, -0.0, -1.1931853071795866
510, 0.0, -0.0, -1.183185307179586
511, 0.0, -0.0, -1.1731853071795861
512, 0.0, -0.0, -1.1631853071795863
513, 0.0, -0.0, -1.1531853071795866
514, 0.0, -0.0, -1.1431853071795868
515, 0.0, -0.0, -1.133185307179586
516, 0.0, -0.0, -1.1231853071795863
517, 0.0, -0.0, -1.1131853071795865
518, 0.0, -0.0, -1.1031853071795867
519, 0.0, -0.0, -1.093185307179586
520, 0.0, -0.0, -1.0831853071795863
521, 0.0, -0.0, -1.0731853071795865
522, 0.0, -0.0, -1.0631853071795867
523, 0.0, -0.0, -1.053185307179586
524, 0.0, -0.0, -1.0431853071795862
525, 0.0, -0.0, -1.0331853071795865
526, 0.0, -0.0, -1.0231853071795867
527, 0.0, -0.0, -1.013185307179586
528, 0.0, -0.0, -1.0031853071795862
529, 0.0, -0.0, -0.9931853071795864
530, 0.0, -0.0, -0.9831853071795866
531, 0.0, -0.0, -0.973185307179586
532, 0.0, -0.0, -0.9631853071795862
533, 0.0, -0.0, -0.9531853071795864
534, 0.0, -0.0, -0.9431853071795866
535, 0.0, -0.0, -0.933185307179586
536, 0.0, -0.0, -0.9231853071795861
537, 0.0, -0.0, -0.9131853071795863
538, 0.0, -0.0, -0.9031853071795866
539, 0.0, -0.0, -0.8931853071795868
540, 0.0, -0.0, -0.8831853071795861
541, 0.0, -0.0, -0.8731853071795863
542, 0.0, -0.0, -0.8631853071795865
543, 0.0, -0.0, -0.8531853071795867
544, 0.0, -0.0, -0.8431853071795861
545, 0.0, -0.0, -0.8331853071795863
546, 0.0, -0.0, -0.8231853071795865
547, 0.0, -0.0, -0.8131853071795866
548, 0.0, -0.0, -0.803185307179586
549, 0.0, -0.0, -0.7931853071795862
550, 0.0, -0.0, -0.7831853071795865
551, 0.0, -0.0, -0.7731853071795867
552, 0.0, -0.0, -0.763185307179586
553, 0.0, -0.0, -0.7531853071795862
554, 0.0, -0.0, -0.7431853071795864
555, 0.0, -0.0, -0.7331853071795866
556, 0.0, -0.0, -0.723185307179586
557, 0.0, -0.0, -0.7131853071795863
558, 0.0, -0.0, -0.7031853071795864
559, 0.0, -0.0, -0.6931853071795867
560, 0.0, -0.0, -0.6831853071795859
561, 0.0, -0.0, -0.6731853071795861
562, 0.0, -0.0, -0.6631853071795863
563, 0.0, -0.0, -0.6531853071795866
564, 0.0, -0.0, -0.6431853071795869
565, 0.0, -0.0, -0.6331853071795861
566, 0.0, -0.0, -0.6231853071795863
567, 0.0, -0.0, -0.6131853071795866
568, 0.0, -0.0, -0.6031853071795867
569, 0.0, -0.0, -0.5931853071795861
570, 0.0, -0.0, -0.5831853071795863
571, 0.0, -0.0, -0.5731853071795866
572, 0.0, -0.0, -0.5631853071795867
573, 0.0, -0.0, -0.553185307179586
574, 0.0, -0.0, -0.5431853071795862
575, 0.0, -0.0, -0.5331853071795865
576, 0.0, -0.0, -0.5231853071795867
577, 0.0, -0.0, -0.513185307179586
578, 0.0, -0.0, -0.5031853071795862
579, 0.0, -0.0, -0.4931853071795865
580, 0.0, -0.0, -0.48318530717958663
581, 0.0, -0.0, -0.473185307179586
582, 0.0, -0.0, -0.4631853071795862
583, 0.0, -0.0, -0.4531853071795864
584, 0.0, -0.0, -0.44318530717958665
585, 0.0, -0.0, -0.433185307179586
586, 0.0, -0.0, -0.42318530717958613
587, 0.0, -0.0, -0.41318530717958635
588, 0.0, -0.0, -0.40318530717958656
589, 0.0, -0.0, -0.3931853071795868
590, 0.0, -0.0, -0.3831853071795861
591, 0.0, -0.0, -0.3731853071795863
592, 0.0, -0.0, -0.3631853071795865
593, 0.0, -0.0, -0.3531853071795868
594, 0.0, -0.0, -0.3431853071795861
595, 0.0, -0.0, -0.3331853071795863
596, 0.0, -0.0, -0.3231853071795865
597, 0.0, -0.0, -0.3131853071795867
598, 0.0, -0.0, -0.303185307179586
599, 0.0, -0.0, -0.29318530717958624
600, 0.0, -0.0, -0.28318530717958645
601, 0.0, -0.0, -0.27318530717958667
602, 0.0, -0.0, -0.26318530717958605
603, 0.0, -0.0, -0.25318530717958626
604, 0.0, -0.0, -0.24318530717958645
605, 0.0, -0.0, -0.23318530717958666
606, 0.0, -0.0, -0.22318530717958598
607, 0.0, -0.0, -0.2131853071795862
608, 0.0, -0.0, -0.2031853071795864
609, 0.0, -0.0, -0.1931853071795866
610, 0.0, -0.0, -0.18318530717958595
611, 0.0, -0.0, -0.17318530717958616
612, 0.0, -0.0, -0.16318530717958638
613, 0.0, -0.0, -0.1531853071795866
614, 0.0, -0.0, -0.1431853071795859
615, 0.0, -0.0, -0.13318530717958613
616, 0.0, -0.0, -0.12318530717958633
617, 0.0, -0.0, -0.11318530717958655
618, 0.0, -0.0, -0.10318530717958677
619, 0.0, -0.0, -0.09318530717958609
620, 0.0, -0.0, -0.08318530717958629
621, 0.0, -0.0, -0.0731853071795865
622, 0.0, -0.0, -0.06318530717958673
623, 0.0, -0.0, -0.05318530717958605
624, 0.0, -0.0, -0.04318530717958626
625, 0.0, -0.0, -0.033185307179586475
626, 0.0, -0.0, -0.02318530717958669
627, 0.0, -0.0, -0.013185307179586015
628, 0.0, -0.0, -0.0031853071795862283
629, 0.0, -0.0, 0.006814692820413559
630, 0.0, -0.0, 0.016814692820413348
631, 0.0, -0.0, 0.02681469282041402
632, 0.0, -0.0, 0.03681469282041381
633, 0.0, -0.0, 0.046814692820413596
634, 0.0, -0.0, 0.056814692820413376
635, 0.0, -0.0, 0.06681469282041405
636, 0.0, -0.0, 0.07681469282041384
637, 0.0, -0.0, 0.08681469282041362
638, 0.0, -0.0, 0.09681469282041343
639, 0.0, -0.0, 0.10681469282041409
640, 0.0, -0.0, 0.11681469282041387
641, 0.0, -0.0, 0.12681469282041366
642, 0.0, -0.0, 0.13681469282041345
643, 0.0, -0.0, 0.14681469282041323
644, 0.0, -0.0, 0.1568146928204139
645, 0.0, -0.0, 0.16681469282041367
646, 0.0, -0.0, 0.1768146928204135
647, 0.0, -0.0, 0.1868146928204133
648, 0.0, -0.0, 0.19681469282041392
649, 0.0, -0.0, 0.20681469282041376
650, 0.0, -0.0, 0.21681469282041352
651, 0.0, -0.0, 0.2268146928204133
652, 0.0, -0.0, 0.23681469282041398
653, 0.0, -0.0, 0.2468146928204138
654, 0.0, -0.0, 0.2568146928204135
655, 0.0, -0.0, 0.26681469282041337
656, 0.0, -0.0, 0.27681469282041404
657, 0.0, -0.0, 0.2868146928204138
658, 0.0, -0.0, 0.2968146928204136
659, 0.0, -0.0, 0.3068146928204134
660, 0.0, -0.0, 0.3168146928204141
661, 0.0, -0.0, 0.32681469282041387
662, 0.0, -0.0, 0.3368146928204136
663, 0.0, -0.0, 0.34681469282041344
664, 0.0, -0.0, 0.35681469282041406
665, 0.0, -0.0, 0.36681469282041385
666, 0.0, -0.0, 0.3768146928204137
667, 0.0, -0.0, 0.3868146928204135
668, 0.0, -0.0, 0.39681469282041326
669, 0.0, -0.0, 0.40681469282041394
670, 0.0, -0.0, 0.41681469282041367
671, 0.0, -0.0, 0.42681469282041345
672, 0.0, -0.0, 0.4368146928204133
673, 0.0, -0.0, 0.446814692820414
674, 0.0, -0.0, 0.45681469282041376
675, 0.0, -0.0, 0.4668146928204135
676, 0.0, -0.0, 0.4768146928204133
677, 0.0, -0.0, 0.486814692820414
678, 0.0, -0.0, 0.49681469282041374
679, 0.0, -0.0, 0.5068146928204136
680, 0.0, -0.0, 0.5168146928204134
681, 0.0, -0.0, 0.526814692820414
682, 0.0, -0.0, 0.5368146928204138
683, 0.0, -0.0, 0.5468146928204136
684, 0.0, -0.0, 0.5568146928204134
685, 0.0, -0.0, 0.5668146928204141
686, 0.0, -0.0, 0.5768146928204139
687, 0.0, -0.0, 0.5868146928204137
688, 0.0, -0.0, 0.5968146928204133
689, 0.0, -0.0, 0.606814692820414
690, 0.0, -0.0, 0.6168146928204139
691, 0.0, -0.0, 0.6268146928204137
692, 0.0, -0.0, 0.6368146928204135
693, 0.0, -0.0, 0.6468146928204133
694, 0.0, -0.0, 0.6568146928204139
695, 0.0, -0.0, 0.6668146928204137
696, 0.0, -0.0, 0.6768146928204135
697, 0.0, -0.0, 0.6868146928204133
